Monkey #;No. of traits;Points;Background;Points;Fur;Points;Clothes;Points;Mouth;Points;Eyes;Points;Nose Wear;Points;Face Masks;Points;Ears;Points;Eye Wear;Points;Head;Points;Total Score 
67;4;7.75;Blue;20.00;Lava;50.00;Jumper;100.00;Gold teeth;20.41;Eyeball out;125.00;N/A;1.09;N/A;1.31;Feather earring;28.57;N/A;1.97;Mohawk;71.43;427.53
68;5;26.32;Blue;20.00;Lava;50.00;Captain jacket;111.11;Frown;1.64;Blue hypnotised;25.00;Nose bar;31.25;N/A;1.31;Gold earring;20.83;Bandage;50.00;Crown;333.33;670.79
69;4;7.75;Blue;20.00;Cheetah;25.64;Jumper;100.00;Tongue out;50.00;N/A;1.83;N/A;1.09;N/A;1.31;Stretched earring;83.33;Masquerade mask;41.67;Mohawk;71.43;404.05
70;4;7.75;Blue;20.00;Rainbow;19.61;Bathrobe;142.86;Gold teeth;20.41;Blue hypnotised;25.00;Nose ring;20.41;N/A;1.31;N/A;1.45;N/A;1.97;Dreadlocks;90.91;351.68
71;4;7.75;Blue;20.00;Cheetah;25.64;N/A;1000.00;Tongue out;50.00;Green;20.83;Nose bar;31.25;N/A;1.31;N/A;1.45;Masquerade mask;41.67;N/A;2.01;1201.91
72;5;26.32;Blue;20.00;Cheetah;25.64;Captain jacket;111.11;Blowing;33.33;Green;20.83;Nose ring;20.41;N/A;1.31;Stretched earring;83.33;N/A;1.97;Quiff hair;111.11;455.36
73;4;7.75;Blue;20.00;Cheetah;25.64;Greek toga;83.33;Tongue out;50.00;Orange hypnotised;41.67;N/A;1.09;N/A;1.31;Gold earring;20.83;N/A;1.97;Nightvision helmet;76.92;330.51
74;4;7.75;Blue;20.00;Lava;50.00;Spiked armour;83.33;Frown;1.64;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;Feather earring;28.57;Bandage;50.00;Roman leaf crown;90.91;359.60
75;4;7.75;Blue;20.00;Futuristic;33.33;Gold chain;66.67;Frown;1.64;Green;20.83;Nose bar;31.25;N/A;1.31;Gold earring;20.83;Masquerade mask;41.67;N/A;2.01;247.29
76;4;7.75;Blue;20.00;Cheetah;25.64;Dollar chain;111.11;Frown;1.64;Blue hypnotised;25.00;Nose ring;20.41;N/A;1.31;N/A;1.45;3D glasses;58.82;Skating helmet;166.67;439.80
77;5;26.32;Blue;20.00;Gold;100.00;Jumper;100.00;Tongue out;50.00;One eye;62.50;Nose ring;20.41;N/A;1.31;N/A;1.45;Eyebrow ring;31.25;Skating helmet;166.67;579.91
78;5;26.32;Blue;20.00;Lava;50.00;Smoking jacket;166.67;Gold teeth;20.41;Blue hypnotised;25.00;Nose bar;31.25;N/A;1.31;Gold earring;20.83;Masquerade mask;41.67;N/A;2.01;405.47
79;4;7.75;Blue;20.00;Cheetah;25.64;Mummy;90.91;Blowing;33.33;N/A;1.83;N/A;1.09;N/A;1.31;Gold earring;20.83;Masquerade mask;41.67;Roman leaf crown;90.91;335.27
80;4;7.75;Blue;20.00;Rainbow;19.61;Smoking jacket;166.67;Gold teeth;20.41;Blue hypnotised;25.00;Nose ring;20.41;N/A;1.31;Feather earring;28.57;N/A;1.97;N/A;2.01;313.71
81;4;7.75;Blue;20.00;Rainbow;19.61;Smoking jacket;166.67;Gold teeth;20.41;N/A;1.83;Nose bar;31.25;N/A;1.31;N/A;1.45;Bandage;50.00;Soccer helmet;166.67;486.95
82;4;7.75;Blue;20.00;Rainbow;19.61;Bathrobe;142.86;Gold teeth;20.41;Blue hypnotised;25.00;Nose ring;20.41;N/A;1.31;N/A;1.45;Bandage;50.00;N/A;2.01;310.81
83;4;7.75;Blue;20.00;Cheetah;25.64;Tanktop;76.92;Frown;1.64;N/A;1.83;Nose ring;20.41;N/A;1.31;Stretched earring;83.33;Bandage;50.00;Nightvision helmet;76.92;365.75
84;4;7.75;Blue;20.00;Lava;50.00;Pilot jacket;142.86;Rainbow teeth;25.00;N/A;1.83;Nose bar;31.25;N/A;1.31;N/A;1.45;AR glasses;125.00;Viking helmet;142.86;549.31
85;5;26.32;Blue;20.00;Futuristic;33.33;Gold chain;66.67;Frown;1.64;Orange hypnotised;41.67;Nose ring;20.41;N/A;1.31;Gold earring;20.83;Bandage;50.00;Crown;333.33;615.51
86;3;5.38;Pink;11.76;Gold;100.00;Tanktop;76.92;Gold teeth;20.41;N/A;1.83;Nose ring;20.41;N/A;1.31;N/A;1.45;N/A;1.97;Afro hair;250.00;491.44
87;4;7.75;Pink;11.76;Gold;100.00;Navy jacket;83.33;Frown;1.64;Blue hypnotised;25.00;Nose ring;20.41;N/A;1.31;N/A;1.45;Bandage;50.00;Boxing headgear;100.00;402.65
88;5;26.32;Pink;11.76;Rainbow;19.61;Tanktop;76.92;Gold teeth;20.41;One eye;62.50;N/A;1.09;N/A;1.31;Gold earring;20.83;Eyebrow ring;31.25;Quiff hair;111.11;383.11
89;4;7.75;Pink;11.76;Cheetah;25.64;Greek toga;83.33;Gold teeth;20.41;N/A;1.83;Nose bar;31.25;N/A;1.31;Gold earring;20.83;N/A;1.97;Braided hair;125.00;331.08
90;3;5.38;Pink;11.76;Lava;50.00;Mummy;90.91;Frown;1.64;Orange hypnotised;41.67;N/A;1.09;Horror;100.00;Gold earring;20.83;N/A;1.97;N/A;2.01;327.26
91;3;5.38;Pink;11.76;Rainbow;19.61;Greek toga;83.33;Frown;1.64;N/A;1.83;Nose ring;20.41;N/A;1.31;Feather earring;28.57;3D glasses;58.82;N/A;2.01;234.67
92;4;7.75;Pink;11.76;Rainbow;19.61;Tanktop;76.92;Gold teeth;20.41;Green;20.83;Nose bar;31.25;N/A;1.31;N/A;1.45;N/A;1.97;Boxing headgear;100.00;293.26
93;4;7.75;Pink;11.76;Cheetah;25.64;Futuristic;250.00;Rainbow teeth;25.00;N/A;1.83;Nose ring;20.41;N/A;1.31;Stretched earring;83.33;Bandage;50.00;N/A;2.01;479.04
94;5;26.32;Pink;11.76;Futuristic;33.33;Gold chain;66.67;Blowing;33.33;Green;20.83;Nose ring;20.41;N/A;1.31;Gold earring;20.83;Bandage;50.00;N/A;2.01;286.80
95;3;5.38;Pink;11.76;Cheetah;25.64;Knight armour;200.00;Gold teeth;20.41;N/A;1.83;N/A;1.09;N/A;1.31;Gold earring;20.83;N/A;1.97;Roman leaf crown;90.91;381.13
96;4;7.75;Pink;11.76;Rainbow;19.61;Bathrobe;142.86;Rainbow teeth;25.00;N/A;1.83;N/A;1.09;N/A;1.31;Feather earring;28.57;Bandage;50.00;Braided hair;125.00;414.78
97;4;7.75;Pink;11.76;Rainbow;19.61;Spiked armour;83.33;Gold teeth;20.41;N/A;1.83;Nose ring;20.41;N/A;1.31;N/A;1.45;Eyebrow ring;31.25;Dreadlocks;90.91;290.02
98;4;7.75;Pink;11.76;Gold;100.00;Robot claws;333.33;Tongue out;50.00;N/A;1.83;N/A;1.09;N/A;1.31;Feather earring;28.57;Futuristic glasses;250.00;Quiff hair;111.11;896.75
99;4;7.75;Pink;11.76;Gold;100.00;Smoking jacket;166.67;Rainbow teeth;25.00;Green;20.83;Nose ring;20.41;N/A;1.31;Stretched earring;83.33;N/A;1.97;N/A;2.01;441.04
100;3;5.38;Pink;11.76;Futuristic;33.33;Gold chain;66.67;Frown;1.64;Blue hypnotised;25.00;N/A;1.09;Horror;100.00;Gold earring;20.83;N/A;1.97;N/A;2.01;269.68
101;3;5.38;Pink;11.76;Cheetah;25.64;Greek toga;83.33;Rainbow teeth;25.00;N/A;1.83;Nose bar;31.25;N/A;1.31;N/A;1.45;N/A;1.97;Viking helmet;142.86;331.78
102;4;7.75;Pink;11.76;Futuristic;33.33;Police badge;47.62;Gold teeth;20.41;Orange hypnotised;41.67;Nose ring;20.41;N/A;1.31;Gold earring;20.83;N/A;1.97;N/A;2.01;209.07
103;4;7.75;Pink;11.76;Futuristic;33.33;Police badge;47.62;Frown;1.64;Green;20.83;Nose ring;20.41;N/A;1.31;N/A;1.45;Bandage;50.00;Skating helmet;166.67;362.77
104;5;26.32;Pink;11.76;Rainbow;19.61;Mummy;90.91;Blowing;33.33;Orange hypnotised;41.67;Nose ring;20.41;N/A;1.31;Feather earring;28.57;N/A;1.97;Mohawk;71.43;347.29
105;3;5.38;Pink;11.76;Rainbow;19.61;Spiked armour;83.33;Frown;1.64;Orange hypnotised;41.67;N/A;1.09;Cyborg;41.67;N/A;1.45;N/A;1.97;Afro hair;250.00;459.57
106;4;7.75;Pink;11.76;Lava;50.00;Robot claws;333.33;Rainbow teeth;25.00;Futuristic;31.25;N/A;1.09;N/A;1.31;N/A;1.45;AR glasses;125.00;Viking helmet;142.86;730.80
107;5;26.32;Pink;11.76;Cheetah;25.64;Dollar chain;111.11;Tongue out;50.00;Orange hypnotised;41.67;Nose bar;31.25;N/A;1.31;Gold earring;20.83;AR glasses;125.00;N/A;2.01;446.90
108;4;7.75;Pink;11.76;Futuristic;33.33;Police badge;47.62;Gold teeth;20.41;Green;20.83;Nose ring;20.41;N/A;1.31;Gold earring;20.83;N/A;1.97;N/A;2.01;188.23
109;4;7.75;Pink;11.76;Futuristic;33.33;Police badge;47.62;Tongue out;50.00;N/A;1.83;Nose bar;31.25;N/A;1.31;N/A;1.45;3D glasses;58.82;Skating helmet;166.67;411.79
110;3;5.38;Pink;11.76;Rainbow;19.61;Dollar chain;111.11;Frown;1.64;Orange hypnotised;41.67;N/A;1.09;N/A;1.31;N/A;1.45;Eyebrow ring;31.25;Dreadlocks;90.91;317.18
111;4;7.75;Pink;11.76;Cheetah;25.64;Dollar chain;111.11;Frown;1.64;Futuristic;31.25;Nose ring;20.41;N/A;1.31;Feather earring;28.57;N/A;1.97;Crown;333.33;574.74
112;4;7.75;Pink;11.76;Futuristic;33.33;Police badge;47.62;Gold teeth;20.41;N/A;1.83;Nose ring;20.41;N/A;1.31;N/A;1.45;Masquerade mask;41.67;Soccer helmet;166.67;354.21
113;3;5.38;Pink;11.76;Cheetah;25.64;Jumper;100.00;Frown;1.64;Orange hypnotised;41.67;Nose ring;20.41;N/A;1.31;N/A;1.45;N/A;1.97;Dreadlocks;90.91;302.14
114;4;7.75;Pink;11.76;Cheetah;25.64;Military jacket;100.00;Frown;1.64;Orange hypnotised;41.67;Nose ring;20.41;N/A;1.31;Gold earring;20.83;Masquerade mask;41.67;N/A;2.01;274.69
115;3;5.38;Pink;11.76;Futuristic;33.33;Gold chain;66.67;Frown;1.64;N/A;1.83;N/A;1.09;N/A;1.31;Feather earring;28.57;Masquerade mask;41.67;Mohawk;71.43;264.68
116;4;7.75;Pink;11.76;Futuristic;33.33;Gold chain;66.67;Frown;1.64;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;Gold earring;20.83;Bandage;50.00;Nightvision helmet;76.92;296.30
117;3;5.38;Pink;11.76;Rainbow;19.61;Knight armour;200.00;Frown;1.64;Futuristic;31.25;N/A;1.09;N/A;1.31;Gold earring;20.83;Masquerade mask;41.67;N/A;2.01;336.55
118;3;5.38;Pink;11.76;Rainbow;19.61;Jumper;100.00;Sewn mouth;90.91;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Cyborg eye;27.78;Dreadlocks;90.91;352.03
119;4;7.75;Pink;11.76;Cheetah;25.64;Captain jacket;111.11;Tongue out;50.00;One eye;62.50;N/A;1.09;N/A;1.31;Gold earring;20.83;N/A;1.97;Nightvision helmet;76.92;370.88
120;3;5.38;Pink;11.76;Rainbow;19.61;Tanktop;76.92;Rainbow teeth;25.00;N/A;1.83;N/A;1.09;N/A;1.31;Feather earring;28.57;N/A;1.97;Nightvision helmet;76.92;250.36
121;3;5.38;Pink;11.76;Futuristic;33.33;Police badge;47.62;Frown;1.64;Eyeball out;125.00;N/A;1.09;N/A;1.31;N/A;1.45;Eyebrow ring;31.25;Boxing headgear;100.00;359.83
122;4;7.75;Pink;11.76;Rainbow;19.61;Knight armour;200.00;Blowing;33.33;N/A;1.83;N/A;1.09;N/A;1.31;Stud earrings;11.90;Eyebrow ring;31.25;Roman helmet;200.00;519.83
123;3;5.38;Pink;11.76;Lava;50.00;Military jacket;100.00;Rainbow teeth;25.00;Green;20.83;N/A;1.09;N/A;1.31;N/A;1.45;Masquerade mask;41.67;N/A;2.01;260.50
124;3;5.38;Pink;11.76;Lava;50.00;Tanktop;76.92;Blowing;33.33;Green;20.83;N/A;1.09;N/A;1.31;Feather earring;28.57;N/A;1.97;N/A;2.01;233.17
125;3;5.38;Pink;11.76;Rainbow;19.61;Jumper;100.00;Frown;1.64;N/A;1.83;N/A;1.09;Machine;71.43;Gold earring;20.83;N/A;1.97;Roman leaf crown;90.91;326.45
126;3;5.38;Pink;11.76;Rainbow;19.61;Navy jacket;83.33;Rainbow teeth;25.00;Green;20.83;N/A;1.09;N/A;1.31;Feather earring;28.57;N/A;1.97;N/A;2.01;200.86
127;3;5.38;Pink;11.76;Rainbow;19.61;Bathrobe;142.86;Rainbow teeth;25.00;Futuristic;31.25;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;Viking helmet;142.86;384.54
128;5;26.32;Pink;11.76;Rainbow;19.61;Bathrobe;142.86;Rainbow teeth;25.00;Blue hypnotised;25.00;N/A;1.09;N/A;1.31;Gold earring;20.83;Ski mask;35.71;Quiff hair;111.11;420.60
129;3;5.38;Pink;11.76;Cheetah;25.64;Navy jacket;83.33;Tongue out;50.00;Green;20.83;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;Skating helmet;166.67;369.43
